name,FINISHED,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.v[X],axes.mach.l.v[Y],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.v[X],axes.mach.f.v[Y]
units,sec,mm,mm,mm/min,mm/min,mm,mm,mm/min,mm/min
100,   0.436000,   -1076.150537,   -1265.604615,    3523.552716,       0.000000,   -1078.572750,   -1265.604615,       0.000000,       0.000000
101,   0.437000,   -1076.092362,   -1265.604615,    3466.747552,       0.000000,   -1078.516960,   -1265.604615,       0.000000,       0.000000
102,   0.438000,   -1076.035023,   -1265.604615,    3407.002240,       0.000000,   -1078.460336,   -1265.604615,       0.000000,       0.000000
103,   0.439000,   -1075.978756,   -1265.604615,    3344.317004,       0.000000,   -1078.402996,   -1265.604615,       0.000000,       0.000000
104,   0.440000,   -1075.923562,   -1265.604615,    3278.691620,       0.000000,   -1078.344703,   -1265.604615,       0.000000,       0.000000
105,   0.441000,   -1075.869441,   -1265.604615,    3210.126534,       0.000000,   -1078.285813,   -1265.604615,       0.000000,       0.000000
106,   0.442000,   -1075.816631,   -1265.604615,    3138.621300,       0.000000,   -1078.226089,   -1265.604615,       0.000000,       0.000000
107,   0.443000,   -1075.764894,   -1265.604615,    3064.175919,       0.000000,   -1078.165889,   -1265.604615,       0.000000,       0.000000
108,   0.444000,   -1075.714469,   -1265.604615,    2986.790836,       0.000000,   -1078.104973,   -1265.604615,       0.000000,       0.000000
109,   0.445000,   -1075.665355,   -1265.604615,    2906.465381,       0.000000,   -1078.043461,   -1265.604615,       0.000000,       0.000000
110,   0.446000,   -1075.617552,   -1265.604615,    2823.200226,       0.000000,   -1077.981353,   -1265.604615,       0.000000,       0.000000
111,   0.447000,   -1075.571299,   -1265.604615,    2736.994922,       0.000000,   -1077.918887,   -1265.604615,       0.000000,       0.000000
112,   0.448000,   -1075.526357,   -1265.604615,    2647.849694,       0.000000,   -1077.855945,   -1265.604615,       0.000000,       0.000000
113,   0.449000,   -1075.482965,   -1265.604615,    2555.764541,       0.000000,   -1077.792525,   -1265.604615,       0.000000,       0.000000
114,   0.450000,   -1075.441241,   -1265.604615,    2460.739240,       0.000000,   -1077.728868,   -1265.604615,       0.000000,       0.000000
115,   0.451000,   -1075.400949,   -1265.604615,    2362.774014,       0.000000,   -1077.664971,   -1265.604615,       0.000000,       0.000000
116,   0.452000,   -1075.362444,   -1265.604615,    2261.868641,       0.000000,   -1077.600598,   -1265.604615,       0.000000,       0.000000
117,   0.453000,   -1075.325608,   -1265.604615,    2158.023566,       0.000000,   -1077.536225,   -1265.604615,       0.000000,       0.000000
118,   0.454000,   -1075.290561,   -1265.604615,    2051.238343,       0.000000,   -1077.471852,   -1265.604615,       0.000000,       0.000000
119,   0.455000,   -1075.257301,   -1265.604615,    1943.089440,       0.000000,   -1077.407241,   -1265.604615,       0.000000,       0.000000
120,   0.456000,   -1075.225711,   -1265.604615,    1837.670021,       0.000000,   -1077.342749,   -1265.604615,       0.000000,       0.000000
121,   0.457000,   -1075.196028,   -1265.604615,    1735.190526,       0.000000,   -1077.278137,   -1265.604615,       0.000000,       0.000000
122,   0.458000,   -1075.167894,   -1265.604615,    1635.650955,       0.000000,   -1077.213645,   -1265.604615,       0.000000,       0.000000
123,   0.459000,   -1075.141430,   -1265.604615,    1539.051421,       0.000000,   -1077.149272,   -1265.604615,       0.000000,       0.000000
124,   0.460000,   -1075.116634,   -1265.604615,    1445.391923,       0.000000,   -1077.085018,   -1265.604615,       0.000000,       0.000000
125,   0.461000,   -1075.093269,   -1265.604615,    1354.672462,       0.000000,   -1077.021122,   -1265.604615,       0.000000,       0.000000
126,   0.462000,   -1075.071454,   -1265.604615,    1266.892925,       0.000000,   -1076.957464,   -1265.604615,       0.000000,       0.000000
127,   0.463000,   -1075.050950,   -1265.604615,    1182.053424,       0.000000,   -1076.894045,   -1265.604615,       0.000000,       0.000000
128,   0.464000,   -1075.031996,   -1265.604615,    1100.153960,       0.000000,   -1076.830983,   -1265.604615,       0.000000,       0.000000
129,   0.465000,   -1075.014353,   -1265.604615,    1021.194421,       0.000000,   -1076.768160,   -1265.604615,       0.000000,       0.000000
130,   0.466000,   -1074.997902,   -1265.604615,     945.174918,       0.000000,   -1076.705933,   -1265.604615,       0.000000,       0.000000
131,   0.467000,   -1074.982762,   -1265.604615,     872.095451,       0.000000,   -1076.644182,   -1265.604615,       0.000000,       0.000000
132,   0.468000,   -1074.968815,   -1265.604615,     801.955909,       0.000000,   -1076.583028,   -1265.604615,       0.000000,       0.000000
133,   0.469000,   -1074.956059,   -1265.604615,     734.756403,       0.000000,   -1076.522589,   -1265.604615,       0.000000,       0.000000
134,   0.470000,   -1074.944377,   -1265.604615,     670.496933,       0.000000,   -1076.462746,   -1265.604615,       0.000000,       0.000000
135,   0.471000,   -1074.933648,   -1265.604615,     609.177388,       0.000000,   -1076.403499,   -1265.604615,       0.000000,       0.000000
136,   0.472000,   -1074.923992,   -1265.604615,     550.797936,       0.000000,   -1076.345086,   -1265.604615,       0.000000,       0.000000
137,   0.473000,   -1074.915290,   -1265.604615,     495.358407,       0.000000,   -1076.287389,   -1265.604615,       0.000000,       0.000000
138,   0.474000,   -1074.907541,   -1265.604615,     442.858888,       0.000000,   -1076.230526,   -1265.604615,       0.000000,       0.000000
139,   0.475000,   -1074.900508,   -1265.604615,     393.299405,       0.000000,   -1076.174617,   -1265.604615,       0.000000,       0.000000
140,   0.476000,   -1074.894309,   -1265.604615,     346.679902,       0.000000,   -1076.119542,   -1265.604615,       0.000000,       0.000000
141,   0.477000,   -1074.888945,   -1265.604615,     303.000379,       0.000000,   -1076.065660,   -1265.604615,       0.000000,       0.000000
142,   0.478000,   -1074.884295,   -1265.604615,     262.260893,       0.000000,   -1076.012731,   -1265.604615,       0.000000,       0.000000
143,   0.479000,   -1074.880242,   -1265.604615,     224.461374,       0.000000,   -1075.960636,   -1265.604615,       0.000000,       0.000000
144,   0.480000,   -1074.876785,   -1265.604615,     189.601877,       0.000000,   -1075.909615,   -1265.604615,       0.000000,       0.000000
145,   0.481000,   -1074.873805,   -1265.604615,     157.682374,       0.000000,   -1075.859785,   -1265.604615,       0.000000,       0.000000
146,   0.482000,   -1074.871421,   -1265.604615,     128.702866,       0.000000,   -1075.811148,   -1265.604615,       0.000000,       0.000000
147,   0.483000,   -1074.869514,   -1265.604615,     102.663359,       0.000000,   -1075.763822,   -1265.604615,       0.000000,       0.000000
