name,FINISHED,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.p[C],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.p[C]
units,sec,mm,mm,deg,mm,mm,deg
5657,   7.986000,     752.208352,    1263.899446,      85.519754,     783.880055,    1263.717413,      93.209536
5658,   7.987000,     751.388252,    1263.956428,      85.319752,     783.058763,    1263.679981,      93.009555
5659,   7.988000,     750.568390,    1264.015794,      85.119757,     782.237649,    1263.645053,      92.809451
5660,   7.989000,     749.748707,    1264.077663,      84.919756,     781.415820,    1263.612509,      92.609340
5661,   7.990000,     748.929262,    1264.142036,      84.719754,     780.594826,    1263.582349,      92.409174
5662,   7.991000,     748.109996,    1264.208794,      84.519752,     779.773653,    1263.554811,      92.208824
5663,   7.992000,     747.291028,    1264.278054,      84.319758,     778.953493,    1263.529778,      92.008488
5664,   7.993000,     746.472299,    1264.349699,      84.119756,     778.132439,    1263.507247,      91.808329
5665,   7.994000,     745.653749,    1264.423847,      83.919754,     777.310371,    1263.487101,      91.608048
5666,   7.995000,     744.835556,    1264.500380,      83.719753,     776.487350,    1263.469458,      91.408026
5667,   7.996000,     744.017601,    1264.579415,      83.519758,     775.664985,    1263.453960,      91.207990
5668,   7.997000,     743.199885,    1264.660835,      83.319756,     774.843574,    1263.441086,      91.008036
5669,   7.998000,     742.382467,    1264.744759,      83.119755,     774.023056,    1263.430595,      90.808171
5670,   7.999000,     741.565406,    1264.831185,      82.919753,     773.202181,    1263.422489,      90.608484
5671,   8.000000,     740.748584,    1264.919877,      82.719759,     772.379458,    1263.416886,      90.408701
5672,   8.001000,     739.932120,    1265.011191,      82.519757,     771.557331,    1263.413668,      90.208897
5673,   8.002000,     739.115953,    1265.104771,      82.319755,     770.735145,    1263.412833,      90.009128
5674,   8.003000,     738.300085,    1265.200853,      82.119754,     769.914091,    1263.414383,      89.809160
5675,   8.004000,     737.484634,    1265.299439,      81.919752,     769.092798,    1263.418198,      89.609227
5676,   8.005000,     736.669481,    1265.400410,      81.719757,     768.271506,    1263.424158,      89.409266
5677,   8.006000,     735.854685,    1265.503764,      81.519756,     767.448425,    1263.432503,      89.209087
5678,   8.007000,     735.040247,    1265.609622,      81.319754,     766.625762,    1263.443112,      89.008969
5679,   8.008000,     734.226167,    1265.717864,      81.119753,     765.803337,    1263.455987,      88.808831
5680,   8.009000,     733.412504,    1265.828609,      80.919758,     764.982343,    1263.471127,      88.608365
5681,   8.010000,     732.599199,    1265.941739,      80.719756,     764.161229,    1263.488889,      88.408241
5682,   8.011000,     731.786311,    1266.057253,      80.519755,     763.339758,    1263.509274,      88.208061
5683,   8.012000,     730.973840,    1266.175270,      80.319753,     762.517929,    1263.532400,      88.008053
5684,   8.013000,     730.161786,    1266.295671,      80.119758,     761.696398,    1263.558149,      87.808045
5685,   8.014000,     729.350150,    1266.418457,      79.919757,     760.875404,    1263.586283,      87.608139
5686,   8.015000,     728.538930,    1266.543746,      79.719755,     760.054529,    1263.617039,      87.408397
